CashReserveRatio,CashDepositRatio,ReverseRepoRate,MarginalFacilityRate,BankRate,TermDepositRate,SavingsDepositRate,CallMoneyRate,TreasuryBill,Inflation,RepoRate,BaseRate
4,0,4.9,5.4,5.4,6.1,3.25,4.92,5.21,6.62,5.15,8.45
4,4.71,4.9,5.4,5.4,6.1,3.25,5.05,5.22,6.62,5.15,8.45
4,0,4.9,5.4,5.4,6.1,3.25,5.11,5.22,3.73,5.15,8.45
4,4.95,4.9,5.4,5.4,6.1,3.25,5.06,5.19,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.2,3.25,4.98,5.19,3.73,5.15,8.45
4,4.73,4.9,5.4,5.4,6.2,3.25,5.02,5.07,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.2,3.25,5.03,5.12,3.73,5.15,8.45
4,4.65,4.9,5.4,5.4,6.2,3.25,5.05,5.13,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.25,3.25,5.07,5.16,3.73,5.15,8.45
4,4.7,4.9,5.4,5.4,6.25,3.25,5.03,5.14,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.25,3.25,5.08,5.21,3.73,5.15,8.45
4,4.88,4.9,5.4,5.4,6.25,3.25,5.07,5.21,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.25,3.25,5.05,5.25,3.73,5.15,8.45
4,4.74,4.9,5.4,5.4,6.25,3.25,5.06,5.33,3.73,5.15,8.45
4,0,4.9,5.4,5.4,6.25,3.25,5.26,5.44,3.73,5.15,8.45
4,4.8,5.15,5.65,5.65,6.25,3.25,5.31,5.5,3.73,5.4,8.45
4,0,5.15,5.65,5.65,6.25,3.25,5.36,5.46,3.73,5.4,8.45
4,4.75,5.15,5.65,5.65,6.25,3.25,5.31,5.54,3.73,5.4,8.45
4,0,5.15,5.65,5.65,6.25,3.25,5.34,5.61,3.73,5.4,8.45
4,4.87,5.15,5.65,5.65,6.35,3.25,5.36,5.63,3.73,5.4,8.45
4,0,5.15,5.65,5.65,6.35,3.25,5.32,5.63,3.73,5.4,8.45
4,4.84,5.15,5.65,5.65,6.35,3.25,5.32,5.65,3.73,5.4,8.45
4,0,5.15,5.65,5.65,6.35,3.25,5.45,5.69,3.73,5.4,8.45
4,4.67,5.5,6,6,6.25,3.25,5.58,5.88,3.73,5.75,8.45
4,0,5.5,6,6,6.25,3.25,5.59,5.95,3.73,5.75,8.45
4,4.84,5.5,6,6,6.25,3.5,5.61,5.93,3.73,5.75,8.45
4,0,5.5,6,6,6.25,3.5,5.62,6.03,3.73,5.75,8.45
4,4.64,5.5,6,6,6.25,3.5,5.67,6.12,3.73,5.75,8.45
4,0,5.5,6,6,6.25,3.5,5.78,6.16,3.73,5.75,8.45
4,4.66,5.5,6,6,6.25,3.5,5.78,6.1,3.73,5.75,8.45
4,0,5.5,6,6,6.25,3.5,5.72,6.12,3.73,5.75,8.45
4,4.68,5.5,6,6,6.25,3.5,5.81,6.18,3.73,5.75,8.45
4,0,5.75,6.25,6.25,6.25,3.5,5.9,6.27,3.73,6,8.45
4,4.61,5.75,6.25,6.25,6.25,3.5,5.93,6.39,3.73,6,8.45
4,0,5.75,6.25,6.25,6.25,3.5,5.95,6.46,3.73,6,8.45
4,4.65,5.75,6.25,6.25,6.25,3.5,5.95,6.5,3.73,6,8.45
4,0,5.75,6.25,6.25,6.25,3.5,6.08,6.5,3.73,6,8.45
4,4.82,5.75,6.25,6.25,6.25,3.5,6.16,6.48,3.73,6,8.45
4,0,5.75,6.25,6.25,6.25,3.5,6.05,6.42,3.73,6,8.45
4,4.66,5.75,6.25,6.25,6.25,3.5,6,6.31,3.73,6,8.45
4,0,5.75,6.25,6.25,6.25,3.5,6.18,6.29,3.73,6,8.45
4,5.09,6,6.5,6.5,6.25,3.5,6.35,6.35,3.73,6.25,8.45
4,0,6,6.5,6.5,6.25,3.5,6.2,6.37,3.73,6.25,8.45
4,5.14,6,6.5,6.5,6.25,3.5,6.18,6.44,3.73,6.25,8.45
4,0,6,6.5,6.5,6.25,3.5,6.15,6.46,3.73,6.25,8.95
4,4.62,6,6.5,6.5,6.25,3.5,6.22,6.48,3.73,6.25,8.95
4,0,6,6.5,6.5,6.25,3.5,6.29,6.46,3.73,6.25,8.95
4,4.61,6,6.5,6.5,6.25,3.5,6.26,6.42,3.73,6.25,8.95
4,0,6,6.5,6.5,6.25,3.5,6.39,6.67,3.73,6.25,8.95
4,4.67,6.25,6.75,6.75,6.25,3.5,6.4,6.69,3.73,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.43,6.74,3.73,6.5,8.95
4,4.76,6.25,6.75,6.75,6.25,3.5,6.41,6.74,3.73,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.35,6.78,3.73,6.5,8.95
4,4.57,6.25,6.75,6.75,6.25,3.5,6.35,6.8,3.73,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.57,6.84,3.94,6.5,8.95
4,4.67,6.25,6.75,6.75,6.25,3.5,6.49,6.87,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.44,6.95,3.94,6.5,8.95
4,4.6,6.25,6.75,6.75,6.25,3.5,6.36,7.02,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.39,7.06,3.94,6.5,8.95
4,4.68,6.25,6.75,6.75,6.25,3.5,6.42,7.1,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.38,7.17,3.94,6.5,8.95
4,4.68,6.25,6.75,6.75,6.25,3.5,6.43,7.23,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.43,7.23,3.94,6.5,8.95
4,4.68,6.25,6.75,6.75,6.25,3.5,6.5,7.21,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.53,7.23,3.94,6.5,8.95
4,4.62,6.25,6.75,6.75,6.25,3.5,6.41,7.3,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.34,7.45,3.94,6.5,8.95
4,4.9,6.25,6.75,6.75,6.25,3.5,6.49,7.42,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.57,7.34,3.94,6.5,8.95
4,4.77,6.25,6.75,6.75,6.25,3.5,6.46,7.27,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.32,7.12,3.94,6.5,8.95
4,4.69,6.25,6.75,6.75,6.25,3.5,6.36,7.02,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.39,7.02,3.94,6.5,8.95
4,4.6,6.25,6.75,6.75,6.25,3.5,6.39,6.99,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.35,6.97,3.94,6.5,8.95
4,4.69,6.25,6.75,6.75,6.25,3.5,6.24,6.95,3.94,6.5,8.95
