Income,LoanAmountRequest,CreditScore,NoofDefaults,PropertyPrice,CLA,PropertyType,PropertyAge,LSA
1933.05,72809.58,809.44,0,119933.46,241.08,4,1933.05,54607.18
4952.91,46837.47,780.4,0,54791,495.81,2,4952.91,37469.98
988.19,45593.04,833.15,0,72440.58,171.95,2,988.19,36474.43
1933.05,80057.92,832.7,1,121441.51,298.54,2,2614.77,56040.54
2614.77,113858.89,745.55,1,208567.91,491.41,4,2614.77,74008.28
1234.92,34434.72,684.12,1,43146.82,181.48,2,1234.92,22382.57
2361.56,152561.34,637.29,0,221050.8,697.67,1,2361.56,0
2614.77,240311.77,812.26,0,401040.7,807.64,2,1296.07,168218.24
1296.07,35141.99,705.29,1,54903.44,155.95,4,1296.07,22842.29
1546.17,42091.29,613.24,0,67993.43,500.2,2,1546.17,0
2416.86,25765.72,652.41,0,32423.71,140.02,2,2416.86,16747.72
2719.74,20879.96,646.21,0,33568.47,93.99,2,2719.74,0
777.25,96080.6,764.11,0,146073.26,342.33,1,777.25,67256.42
997.25,48894.06,726.28,0,80607.4,178.06,4,997.25,34225.84
1664.52,72448.95,781.51,0,113464.01,398.88,4,1664.52,54336.71
3716.54,116487.58,749.33,1,194442.39,521.23,1,3716.54,75716.93
2077.42,70815.01,779.55,0,102502.2,417.01,4,2077.42,0
2346.88,89489.99,803.04,0,148424.56,327.14,4,2346.88,67117.49
1523.03,66567.35,862.33,0,118617.77,299.53,4,1523.03,46597.14
1837.17,112910.57,722.74,0,128407.6,422.61,4,1837.17,73391.87
1537.82,93103.63,671.65,0,116861.82,351.54,2,1537.82,0
2889.94,57810.08,787.74,0,80756.7,264.92,3,2889.94,40467.06
1266.06,12402.54,804.2,0,21913.58,136.65,4,1266.06,999
2538.85,120525.64,721.27,1,170642.55,552.77,1,2538.85,84367.95
2497.4,115851.35,712.05,0,151126.46,479.87,1,2497.4,0
700.07,38101.51,860.88,0,47390.38,240.38,4,700.07,28576.13
4028.01,95922.71,620,0,139522.21,417.05,4,4028.01,0
5350.94,99492.44,733.68,0,188950.33,516.71,3,5350.94,0
4141.15,168825.55,637.03,0,193087.29,621.83,1,4141.15,0
3880.49,234770.77,767.85,0,326886.67,636.65,4,3880.49,164339.54
